,Condition,Best_Epoch
415,HomoTrainOrthoVal,67
416,HomoTrainOrthoVal,62
417,HomoTrainOrthoVal,58
418,HomoTrainOrthoVal,61
419,HomoTrainOrthoVal,66
420,HomoTrainOrthoVal,61
421,HomoTrainOrthoVal,73
422,HomoTrainOrthoVal,66
423,HomoTrainOrthoVal,65
424,HomoTrainOrthoVal,68
425,HomoTrainOrthoVal,66
426,HomoTrainOrthoVal,52
427,HomoTrainOrthoVal,61
428,HomoTrainOrthoVal,68
429,HomoTrainOrthoVal,55
430,HomoTrainOrthoVal,62
431,HomoTrainOrthoVal,69
432,HomoTrainOrthoVal,72
433,HomoTrainOrthoVal,55
434,HomoTrainOrthoVal,62
435,HomoTrainOrthoVal,62
436,HomoTrainOrthoVal,64
437,HomoTrainOrthoVal,64
438,HomoTrainOrthoVal,64
439,HomoTrainOrthoVal,62
440,HomoTrainOrthoVal,76
441,HomoTrainOrthoVal,69
442,HomoTrainOrthoVal,67
443,HomoTrainOrthoVal,62
444,HomoTrainOrthoVal,75
445,HomoTrainOrthoVal,76
446,HomoTrainOrthoVal,61
447,HomoTrainOrthoVal,59
448,HomoTrainOrthoVal,63
449,HomoTrainOrthoVal,63
450,HomoTrainOrthoVal,61
451,HomoTrainOrthoVal,69
452,HomoTrainOrthoVal,59
453,HomoTrainOrthoVal,63
454,HomoTrainOrthoVal,66
455,HomoTrainOrthoVal,61
456,HomoTrainOrthoVal,61
457,HomoTrainOrthoVal,59
458,HomoTrainOrthoVal,60
459,HomoTrainOrthoVal,66
460,HomoTrainOrthoVal,67
461,HomoTrainOrthoVal,66
462,HomoTrainOrthoVal,60
463,HomoTrainOrthoVal,68
464,HomoTrainOrthoVal,66
465,HomoTrainOrthoVal,51
466,HomoTrainOrthoVal,61
467,HomoTrainOrthoVal,61
468,HomoTrainOrthoVal,67
469,HomoTrainOrthoVal,66
470,HomoTrainOrthoVal,65
471,HomoTrainOrthoVal,64
472,HomoTrainOrthoVal,67
473,HomoTrainOrthoVal,64
474,HomoTrainOrthoVal,73
475,HomoTrainOrthoVal,55
476,HomoTrainOrthoVal,64
